csv start


rating	hourly_rate	estimated_budget	total_spent_by_client	country	payment_verified	job_url_main	job_title		time_posted	skill_level	estimated_time
Rating is 5 out of 5.	Hourly: $15-$25	Less than 30 hrs/week	$1K+	USA	Payment verified	https://www.upwork.com/jobs/React-Node-Developer-with-Expertise-Needed_~021883679356301851292/?referrer_url_path=find_work_home	React & Node Developer with ML Expertise Needed		5 hours ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$10K+	United Arab Emirates	Payment verified	https://www.upwork.com/jobs/Bot-Crypto-Trading_~021883674056837157423/?referrer_url_path=find_work_home	Ai Bot, Crypto Trading		5 hours ago	Intermediate	Est. Time:
Rating is 4.9 out of 5.	Fixed-price	$2,000	$100K+	Canada	Payment verified	https://www.upwork.com/jobs/Create-Agents-for-our-company-workflows_~021883672406231071388/?referrer_url_path=find_work_home	Create AI Agents for our company workflows		5 hours ago	Expert	Est. Budget:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$2K+	USA	Payment verified	https://www.upwork.com/jobs/CRO-Strategist_~021883665166551536846/?referrer_url_path=find_work_home	CRO Strategist		6 hours ago	Expert	Est. Time:
Rating is 4.9 out of 5.	Hourly	Less than 30 hrs/week	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Meta-Platforms-Specialist-Flexible-Project-Based-Support_~021883660550716903983/?referrer_url_path=find_work_home	Meta Platforms Specialist – Flexible Project-Based Support		6 hours ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $20-$40	Less than 30 hrs/week	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Python-Developer-for-CRM-Integration-with-Google-Workspace_~021883659020823548463/?referrer_url_path=find_work_home	Python Developer for CRM Integration with Google Workspace		6 hours ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $25-$47	30+ hrs/week	$0	ARE	Payment verified	https://www.upwork.com/jobs/Expert-Full-Stack-Developer-Needed-Assist-with-Development-Across-Web-Apps-Startup_~021883579641925188252/?referrer_url_path=find_work_home	Expert Full Stack Developer Needed to Assist with Development Across 2 Web Apps in a Startup		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$50	$84	United Kingdom	Payment verified	https://www.upwork.com/jobs/word-search-Generator_~021883578070599489585/?referrer_url_path=find_work_home	AI word search Generator		yesterday	Expert	Est. Budget:
Rating is 4.7 out of 5.	Hourly: $8-$25	30+ hrs/week	$80K+	Canada	Payment verified	https://www.upwork.com/jobs/Chatbot-for-Financial-text-pdf_~021883577747870437935/?referrer_url_path=find_work_home	Chatbot for Financial text pdf		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$5K+	United States	Payment verified	https://www.upwork.com/jobs/Google-ads-conversion-tracking_~021883571289299670222/?referrer_url_path=find_work_home	Google ads conversion tracking		yesterday	Expert	Est. Time:
Rating is 4.8 out of 5.	Hourly	30+ hrs/week	$700K+	United States	Payment verified	https://www.upwork.com/jobs/Senior-Project-Manager-for-React-Nest-and-Mongo-Website-Management_~021883570728820134447/?referrer_url_path=find_work_home	Senior Project Manager for React, Nest, and Mongo Website Management		yesterday	Expert	Est. Time:
Rating is 3 out of 5.	Hourly: $4-$5	Less than 30 hrs/week	$4K+	United States	Payment verified	https://www.upwork.com/jobs/Expert-Needed-for-Flux-Lora-Setup_~021883570595752002011/?referrer_url_path=find_work_home	Expert Needed for Flux Lora Setup		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$800	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Expert-Weaviate-and-Programmer-Needed-for-POC-Project_~021883568336871834075/?referrer_url_path=find_work_home	Expert Weaviate and AI Programmer Needed for POC Project		yesterday	Expert	Est. Budget:
Rating is 4.8 out of 5.	Fixed-price	$10,000	$30K+	United States	Payment verified	https://www.upwork.com/jobs/Build-Multi-Layer-Conversational-Assistant-with-ElevenLabs-OpenAI-Internal-API_~021883567127857030889/?referrer_url_path=find_work_home	Build Multi-Layer Conversational Assistant with ElevenLabs, OpenAI & Internal API's		yesterday	Expert	Est. Budget:
Rating is 5 out of 5.	Fixed-price	$2,000	$500K+	United States	Payment verified	https://www.upwork.com/jobs/Form-Filler-Development_~021883562823754995761/?referrer_url_path=find_work_home	AI Form Filler Development		yesterday	Intermediate	Est. Budget:
Rating is 4.9 out of 5.	Hourly: $30-$59	Less than 30 hrs/week	$100+	Morocco	Payment verified	https://www.upwork.com/jobs/Avatar-intervienw-developper_~021883562041963565615/?referrer_url_path=find_work_home	AI Avatar intervienw developper		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $10-$25	Less than 30 hrs/week	$1K+	GBR	Payment verified	https://www.upwork.com/jobs/CRO-Specialist-Needed-for-Supplement-PDP-Optimization_~021883554942108882126/?referrer_url_path=find_work_home	CRO Specialist Needed for Supplement PDP Optimization		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $15-$30	Less than 30 hrs/week	$3K+	India	Payment verified	https://www.upwork.com/jobs/Python-Backend-Developer-with-Azure-Experience-Needed_~021883553532886104732/?referrer_url_path=find_work_home	Python Backend Developer with Azure Experience Needed		yesterday	Intermediate	Est. Time:
Rating is 4.9 out of 5.	Hourly: $5-$60	30+ hrs/week	$2K+	Germany	Payment verified	https://www.upwork.com/jobs/Expert-Needed-for-Process-Automation_~021883552878753471242/?referrer_url_path=find_work_home	AI Expert Needed for Process Automation		yesterday	Expert	Est. Time:
Rating is 4.9 out of 5.	Hourly: $20-$45	Less than 30 hrs/week	$30K+	United States	Payment verified	https://www.upwork.com/jobs/Looker-Report-Development-for-Glasses-Store_~021883551101187577038/?referrer_url_path=find_work_home	Looker Report Development for Glasses Store		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $20-$50	Less than 30 hrs/week	$0	USA	Payment verified	https://www.upwork.com/jobs/Google-Cloud-Database-Development-for-SQL-Analysis-BigQuery_~021883549987856831023/?referrer_url_path=find_work_home	Google Cloud Database Development for SQL Analysis in BigQuery		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $20-$40	Less than 30 hrs/week	$10K+	USA	Payment verified	https://www.upwork.com/jobs/Full-Stack-Growth-Specialist-needed-deliver-successful-D2C-SaaS-launch_~021883549045261391054/?referrer_url_path=find_work_home	Full Stack Growth Specialist needed to deliver successful D2C SaaS launch		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Fixed-price	$3,500	$100+	SAU	Payment verified	https://www.upwork.com/jobs/Full-Stack-Developer-with-Experience-for-Online-Homeschooling-Platform_~021883546735378938524/?referrer_url_path=find_work_home	Full-Stack Developer with AI/ML Experience for Online Homeschooling Platform		yesterday	Expert	Est. Budget:
Rating is 5 out of 5.	Hourly: $45-$85	30+ hrs/week	$50K+	United Kingdom	Payment verified	https://www.upwork.com/jobs/Google-Analytics-Specialist_~021883516179421313692/?referrer_url_path=find_work_home	Google Analytics Specialist		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $15-$45	not_sure	$400	United States	Payment verified	https://www.upwork.com/jobs/Python-Developer-Needed-for-Police-Report-Data-Extraction-App_~021883502366614213167/?referrer_url_path=find_work_home	Python or AI Developer Needed for Police Report Data Extraction App		yesterday	Intermediate	Est. Time:
Rating is 4.6 out of 5.	Hourly: $30-$60	Less than 30 hrs/week	$60K+	United Kingdom	Payment verified	https://www.upwork.com/jobs/LLM-for-Global-Property-Market_~021883500963966538958/?referrer_url_path=find_work_home	LLM for Global Property Market		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $10-$50	30+ hrs/week	$100K+	Israel	Payment verified	https://www.upwork.com/jobs/Data-Analyst-for-ROAS-and-Campaign-Optimization_~021883486920178455758/?referrer_url_path=find_work_home	Data Analyst (BI) for ROAS and Campaign Optimization		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $6-$8	30+ hrs/week	$100K+	United States	Payment verified	https://www.upwork.com/jobs/Personal-Assistant-Database-Marketing-CRM-ChatGPT-Specialist_~021883486833659822556/?referrer_url_path=find_work_home	Personal Assistant (Database, Marketing, CRM, ChatGPT Specialist)		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$500+	United Kingdom	Payment verified	https://www.upwork.com/jobs/Instagram-Hashtag-Data-Analyst_~021883485572810097115/?referrer_url_path=find_work_home	Instagram Hashtag Data Analyst		yesterday	Intermediate	Est. Time:
Rating is 4.8 out of 5.	Hourly	30+ hrs/week	$200K+	United States	Payment verified	https://www.upwork.com/jobs/Full-Time-SEO-Content-Strategist-and-PPC-Manager-for-Lead-Generation-Remote_~021883484547465990703/?referrer_url_path=find_work_home	Full-Time SEO, AI Content Strategist, and PPC Manager for Lead Generation (Remote)		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Fixed-price	$50	$0	Turkey	Payment verified	https://www.upwork.com/jobs/Chatbot-Development-for-Medical-Service-Lead-Generation_~021883481773575623215/?referrer_url_path=find_work_home	Chatbot Development for Medical Service Lead Generation		yesterday	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly: $25-$47	30+ hrs/week	$7K+	ARE	Payment verified	https://www.upwork.com/jobs/Expert-GenAI-Agents-Creation-and-Deployment_~021883478972680656945/?referrer_url_path=find_work_home	Expert in GenAI Agents Creation and Deployment		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$1,000	$2K+	AUS	Payment verified	https://www.upwork.com/jobs/BOT-that-would-generate-PASF-Google-and-train-GOOGLE-daily_~021883474213304914479/?referrer_url_path=find_work_home	BOT that would generate PASF in Google and train GOOGLE daily		yesterday	Expert	Est. Budget:
Rating is 5 out of 5.	Hourly: $15-$35	not_sure	$40K+	United States	Payment verified	https://www.upwork.com/jobs/Software-Engineer-Analyst_~021883472826260051150/?referrer_url_path=find_work_home	QA Software Engineer Analyst		yesterday	Entry level	Est. Time:
Rating is 5 out of 5.	Hourly: $25-$50	30+ hrs/week	$10K+	Israel	Payment verified	https://www.upwork.com/jobs/Full-Stack-Developer-for-Innovative-Marketing-Science-Platform_~021874403909875156250/?referrer_url_path=find_work_home	Full-Stack Developer for Innovative Marketing Science Platform		4 weeks ago	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $19-$40	Less than 30 hrs/week	$4K+	United States	Payment verified	https://www.upwork.com/jobs/Hugging-Face-LLM-Project-Guidance_~021883471504576592540/?referrer_url_path=find_work_home	Hugging Face LLM Project Guidance		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	not_sure	$1K+	Switzerland	Payment verified	https://www.upwork.com/jobs/Expert-Needed-Deploy-and-Customize-Healthcare-Platform-Mobile-App_~021883468894017634779/?referrer_url_path=find_work_home	Expert Needed to Deploy and Customize Healthcare Platform & Mobile App		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Hourly: $30-$60	Less than 30 hrs/week	$4K+	USA	Payment verified	https://www.upwork.com/jobs/Driven-Chatbot-Conversation-Design_~021883466014940030697/?referrer_url_path=find_work_home	AI-Driven Chatbot: Conversation Design/QC		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Hourly: $20-$35	Less than 30 hrs/week	$0	Bahamas	Payment verified	https://www.upwork.com/jobs/SmythOS-Developer-Needed-for-Multi-Agent-Development_~021883438343293031630/?referrer_url_path=find_work_home	SmythOS AI Developer Needed for Multi-Agent Development		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$900+	Belgium	Payment verified	https://www.upwork.com/jobs/Daily-Content-Writer-for-Tracking-and-Google-Tag-Manager_~021883439052218940060/?referrer_url_path=find_work_home	Daily Content Writer for Tracking and Google Tag Manager		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly: $5-$30	30+ hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/SMSFlow-House-Marketing-Communications-Platform_~021883433940483260891/?referrer_url_path=find_work_home	SMSFlow: In-House Marketing & Communications Platform		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$700+	Saudi Arabia	Payment verified	https://www.upwork.com/jobs/Gen-Expert-for-Marketing-Advertising-Solutions_~021883434069712372078/?referrer_url_path=find_work_home	Gen AI Expert for Marketing & Advertising Solutions		yesterday	Expert	Est. Time:
Rating is 4.9 out of 5.	Fixed-price	$150	$1K+	GBR	Payment verified	https://www.upwork.com/jobs/Business-Intelligence-Specialist-Needed-for-Google-Looker-Setup_~021883432866561081819/?referrer_url_path=find_work_home	Business Intelligence Specialist Needed for Google Looker Setup		yesterday	Intermediate	Est. Budget:
Rating is 0 out of 5.	Hourly: $15-$40	Less than 30 hrs/week	$0	Australia	Payment verified	https://www.upwork.com/jobs/Build-recruitment-analytics-tool-focused-interview-outcomes_~021883430333049453212/?referrer_url_path=find_work_home	Build a recruitment analytics tool (focused on interview outcomes)		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Fixed-price	$200	$700+	United States	Payment verified	https://www.upwork.com/jobs/Create-GPT-Powered-Bot-for-Customer-Support-Sales-Inquiries_~021883415267104838862/?referrer_url_path=find_work_home	Create GPT-4 Powered Bot for Customer Support & Sales Inquiries		yesterday	Expert	Est. Budget:
Rating is 4.5 out of 5.	Fixed-price	$400	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Cancer-Classification-with-Quantum-Machine-Learning-LLM-some-point_~021883414722310886606/?referrer_url_path=find_work_home	Cancer Classification with Quantum Machine Learning (LLM some point)		yesterday	Intermediate	Est. Budget:
Rating is 4.6 out of 5.	Hourly	Less than 30 hrs/week	$20K+	United States	Payment verified	https://www.upwork.com/jobs/Chatbot-Developer-Needed-for-Innovative-Project_~021883413647698117083/?referrer_url_path=find_work_home	AI Chatbot Developer Needed for Innovative Project		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $19-$40	30+ hrs/week	$4K+	United Kingdom	Payment verified	https://www.upwork.com/jobs/FlutterFlow-LLM-Chatbot-Developer_~021883365155398865455/?referrer_url_path=find_work_home	FlutterFlow AI / LLM Chatbot Developer		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $10-$15	Less than 30 hrs/week	$500K+	South Korea	Payment verified	https://www.upwork.com/jobs/API-Developers-JavaScript-Python-SQL-Facebook-API-integrations_~021883387651962944156/?referrer_url_path=find_work_home	API Developers - JavaScript, Python, SQL | Facebook API integrations		yesterday	Intermediate	Est. Time:
Rating is 4.9 out of 5.	Hourly: $10-$30	Less than 30 hrs/week	$3K+	United States	Payment verified	https://www.upwork.com/jobs/Automation-Expert-with-Code-and-Developer-Skills-for-Agency-Work_~021883372706454688303/?referrer_url_path=find_work_home	AI Automation Expert with No-Code and Developer Skills for Agency Work		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$900+	Puerto Rico	Payment verified	https://www.upwork.com/jobs/Backend-Developer-for-API-Integration-with-Supabase_~021883366462180413999/?referrer_url_path=find_work_home	Backend Developer for API Integration with Supabase		yesterday	Expert	Est. Time:
Rating is 4.9 out of 5.	Hourly: $25-$100	Less than 30 hrs/week	$50K+	United States	Payment verified	https://www.upwork.com/jobs/Build-Posting-Buddy-MVP-for-Powered-Tool-Transform-Social-Media-for-Network-Marketers_~021883363336444991537/?referrer_url_path=find_work_home	Build “Posting Buddy” – MVP for an AI-Powered Tool to Transform Social Media for Network Marketers		yesterday	Expert	Est. Time:
Rating is 4.9 out of 5.	Hourly: $5-$10	Less than 30 hrs/week	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Google-Collab-Notebook_~021883361380939388110/?referrer_url_path=find_work_home	Google Collab Notebook		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Fixed-price	$80	$0	GBR	Payment verified	https://www.upwork.com/jobs/Sales-report-insights_~021883358737290548430/?referrer_url_path=find_work_home	Sales report insights		yesterday	Expert	Est. Budget:
Rating is 0 out of 5.	Fixed-price	$600	$0	United States	Payment verified	https://www.upwork.com/jobs/Property-Search-Tool-Using-and-Predictive-Analysis_~021883356073597581980/?referrer_url_path=find_work_home	Property Search Tool Using ML and Predictive Analysis		yesterday	Intermediate	Est. Budget:
Rating is 5 out of 5.	Fixed-price	$200	$3K+	United States	Payment verified	https://www.upwork.com/jobs/Specialist-for-Manufacturing-Batch-Record-Mind-Mapping_~021883355573842066076/?referrer_url_path=find_work_home	AI Specialist for Manufacturing Batch Record Mind Mapping		yesterday	Intermediate	Est. Budget:
Rating is 0 out of 5.	Hourly: $15-$20	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Embedded-Program-Development-for-Google-Reputation-Comparison_~021883355532398148252/?referrer_url_path=find_work_home	Embedded Program Development for Google Reputation Comparison		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $5-$15	30+ hrs/week	$300+	United States	Payment verified	https://www.upwork.com/jobs/Workflow-Optimization-Specialist-Contract-Months_~021883353760055679754/?referrer_url_path=find_work_home	Workflow Optimization Specialist (Contract: 3-6 Months)		yesterday	Intermediate	Est. Time:
Rating is 0 out of 5.	Fixed-price	$1,000	$100	IND	Payment verified	https://www.upwork.com/jobs/Voice-Project-Speech-Text-and-Text-Speech-Implementation_~021883341332056103690/?referrer_url_path=find_work_home	AI Voice Project: Speech-to-Text and Text-to-Speech Implementation		yesterday	Intermediate	Est. Budget:
Rating is 4.9 out of 5.	Hourly: $10-$35	30+ hrs/week	$30K+	United States	Payment verified	https://www.upwork.com/jobs/Salesforce-Agent-Developer-Needed_~021883340822886601263/?referrer_url_path=find_work_home	Salesforce AI Agent Developer Needed		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $5-$35	30+ hrs/week	$50K+	Germany	Payment verified	https://www.upwork.com/jobs/Growth-Marketing-Manager-for-Tech-Startup_~021883336941954716878/?referrer_url_path=find_work_home	Growth Marketing Manager for Tech-Startup		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $10-$30	30+ hrs/week	$200K+	United States	Payment verified	https://www.upwork.com/jobs/Digital-marketing-manager-Google-LinkedIn-Ads-Meta-campaign-strategy-and-execution_~021883330094754906587/?referrer_url_path=find_work_home	Digital marketing manager / Google, LinkedIn Ads, Meta, campaign strategy and execution		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $15-$85	Less than 30 hrs/week	$800+	USA	Payment verified	https://www.upwork.com/jobs/Aesthetics-App-Development-with-Facial-Recognition_~021883329530741635740/?referrer_url_path=find_work_home	Aesthetics App Development with Facial Recognition		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$100	$20	United States	Payment verified	https://www.upwork.com/jobs/Integrate-Custom-GPT-with-ChatGPT-Website_~021883329031082588828/?referrer_url_path=find_work_home	Integrate Custom GPT with ChatGPT 4.0 on Website		yesterday	Intermediate	Est. Budget:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Integration-Expert-for-and-Automation-Processes_~021883327535565748892/?referrer_url_path=find_work_home	AI Integration Expert for QA and Automation Processes		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $12-$50	30+ hrs/week	$1K+	LVA	Payment verified	https://www.upwork.com/jobs/Chief-Product-Officer-CPO-for-commerce-Optimization_~021883322286759858735/?referrer_url_path=find_work_home	Chief Product Officer (CPO) for E-commerce Optimization		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Fixed-price	$500	$0	United States	Payment verified	https://www.upwork.com/jobs/Developer-Needed-Build-Powered-Health-Coach-App-ChatGPT-Based_~021883320511407800795/?referrer_url_path=find_work_home	Developer Needed to Build AI-Powered Health Coach App (ChatGPT-Based)		yesterday	Intermediate	Est. Budget:
Rating is 0 out of 5.	Hourly: $25-$50	Less than 30 hrs/week	$0	Australia	Payment verified	https://www.upwork.com/jobs/Project-Delivery-Expert-Needed-for-Client-Projects_~021883318510703821275/?referrer_url_path=find_work_home	AI Project Delivery Expert Needed for Client Projects		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly: $10-$12	Less than 30 hrs/week	$20K+	United States	Payment verified	https://www.upwork.com/jobs/Python-Support-Engineer-Singapore-Time-Zone_~021883318382477727793/?referrer_url_path=find_work_home	Python Support Engineer (Singapore Time Zone)		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$1K+	United States	Payment verified	https://www.upwork.com/jobs/automation-agents_~021883313533380515022/?referrer_url_path=find_work_home	AI automation agents		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Fixed-price	$250	$0	United States	Payment verified	https://www.upwork.com/jobs/Expert-HubSpot-Freelancer-Needed-for-CEO-Dashboard-Build_~021883309116569139868/?referrer_url_path=find_work_home	Expert HubSpot Freelancer Needed for CEO Dashboard Build		yesterday	Expert	Est. Budget:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	USA	Payment verified	https://www.upwork.com/jobs/Agent-Development_~021883308643467973838/?referrer_url_path=find_work_home	AI Agent Development		yesterday	Intermediate	Est. Time:
Rating is 4.8 out of 5.	Hourly: $30-$60	30+ hrs/week	$10K+	Germany	Payment verified	https://www.upwork.com/jobs/Machine-Learning-Engineer-Generative-LLMs-Video-Generation-Platform_~021883306139664606953/?referrer_url_path=find_work_home	Machine Learning Engineer (Generative AI & LLMs) – AI Video Generation Platform		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Fixed-price	$65	$6K+	United States	Payment verified	https://www.upwork.com/jobs/MLops-tutor_~021883305119377474011/?referrer_url_path=find_work_home	MLops tutor		yesterday	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Powered-Inbound-and-Outbound-Call-Center-Development_~021883299876995578524/?referrer_url_path=find_work_home	AI-Powered Inbound and Outbound Call Center Development		yesterday	Expert	Est. Time:
Rating is 4 out of 5.	Hourly: $15-$84	Less than 30 hrs/week	$50K+	United States	Payment verified	https://www.upwork.com/jobs/Conversion-Rate-Optimization-CRO_~021883288210207200462/?referrer_url_path=find_work_home	Conversion Rate Optimization (CRO)		yesterday	Expert	Est. Time:
Rating is 0 out of 5.	Fixed-price	$300	$2K	AUS	Payment verified	https://www.upwork.com/jobs/Project-Lead-Magnet-Campaign-Setup-Integration-Google-ads-Hubspot-CRM-setup-Analytics_~021883279883835752923/?referrer_url_path=find_work_home	Project: Lead Magnet Campaign Setup & Integration (FB / Google ads, Hubspot CRM setup & Analytics)		yesterday	Intermediate	Est. Budget:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Engineer-integrate-analytics-ingesting-SQL-data-generate-embedded-analytics-list-page_~021883277669607789103/?referrer_url_path=find_work_home	AI Engineer to integrate analytics ingesting SQL data to generate embedded analytics on a list page		yesterday	Intermediate	Est. Time:
Rating is 5 out of 5.	Fixed-price	$70	$700+	Netherlands	Payment verified	https://www.upwork.com/jobs/Python-script-generate-recipes-with-different-LLM-models_~021883277411108995547/?referrer_url_path=find_work_home	Python script to generate recipes with different LLM models		yesterday	Expert	Est. Budget:
Rating is 5 out of 5.	Fixed-price	$15,000	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Senior-Backend-Engineer_~021883276121771201071/?referrer_url_path=find_work_home	Senior AI Backend Engineer		yesterday	Expert	Est. Budget:
Rating is 0 out of 5.	Hourly	30+ hrs/week	$34	USA	Payment verified	https://www.upwork.com/jobs/Agent-SaaS-Platform-Development_~021883271903148626479/?referrer_url_path=find_work_home	AI Agent SaaS Platform Development		yesterday	Expert	Est. Time:
Rating is 5 out of 5.	Hourly: $19-$40	Less than 30 hrs/week	$6	United States	Payment verified	https://www.upwork.com/jobs/Machine-Learning-Engineer-LLMs-Data-Analytics-Expert_~021883270333648814555/?referrer_url_path=find_work_home	Machine Learning Engineer (LLMs & Data Analytics Expert)		yesterday	Intermediate	Est. Time:
Rating is 4.9 out of 5.	Hourly: $4-$5	30+ hrs/week	$4K+	United States	Payment verified	https://www.upwork.com/jobs/Marketing-Automation-Specialist_~021883269124131706062/?referrer_url_path=find_work_home	AI Marketing Automation Specialist		yesterday	Expert	Est. Time:
